t,q_w,q_x,q_y,q_z,v_x,v_y,v_z,p_x,p_y,p_z,b_w_x,b_w_y,b_w_z,b_a_x,b_a_y,b_a_z,w_x,w_y,w_z,a_x,a_y,a_z
1403715273.302143,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0041887902047863,0.0174532925199432,0.0760963553869527,9.136528916666666,0.1470997499999999,-3.702010375
1403715273.307143,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0013962634015954,0.018151424220741,0.0795870138909414,9.054806833333332,0.0653776666666666,-3.6366327083333334
1403715273.312143,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0020943951023931,0.0202458193231342,0.0740019602845595,9.087495666666664,0.1389275416666666,-3.6693215416666662
1403715273.3171432,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0034906585039886,0.0216420827247296,0.0802851455917391,9.046634625,0.1144109166666666,-3.67749375
1403715273.322143,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0027925268031909,0.0209439510239319,0.0788888821901436,9.079323458333333,0.171616375,-3.751043625
1403715273.327143,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0020943951023931,0.0230383461263251,0.0795870138909414,9.054806833333332,0.1144109166666666,-3.702010375
1403715273.3321433,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0041887902047863,0.0188495559215387,0.0760963553869527,9.079323458333333,0.0735498749999999,-3.702010375
1403715273.3371432,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0034906585039886,0.0216420827247296,0.0795870138909414,9.054806833333332,0.1307553333333333,-3.6693215416666662
1403715273.342143,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0055850536063818,0.0223402144255274,0.0781907504893459,9.087495666666664,0.1062387083333333,-3.7183547916666666
1403715273.347143,-0.060514,0.828459,0.058956,0.553641,0.009474,-0.014009,-0.002145,0.878612,2.14247,0.947262,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073,-0.0027925268031909,0.0216420827247296,0.0767944870877504,9.062979041666667,0.1389275416666666,-3.67749375
