dataset,window_index,window_start_s,snippet_start_s,snippet_end_s,center_200ms_score,center_activity,center_high_order_ratio,center_normalized_rmse
V101,23,23.0,23.4,23.6,13.86608580744678,1.620595223478607,0.8875778113909251,0.13907266969969914
V103,68,68.0,68.4,68.6,9.266305044562916,0.8771330852754105,0.8587948931891437,0.11167730930390912
V102,69,69.0,69.4,69.6,8.142700937008081,0.9289526917258779,0.7506670026738809,0.07532219929393975
MH02,53,53.0,53.4,53.6,7.924182215204771,1.200057434460433,0.8360794173654964,0.2953721419516532
MH03,45,45.0,45.4,45.6,7.781581066974843,0.9836069049301697,0.7856667876407919,0.1816535319497211
MH04,49,49.0,49.4,49.6,6.88791699651102,1.0380072003744452,0.7595909481850783,0.2432852001802378
V202,54,54.0,54.4,54.6,6.554681073346732,0.9056359625337117,0.7244559287117317,0.06961775371530309
V201,85,85.0,85.4,85.6,6.4645827610832844,0.7832627785028609,0.7611894231724261,0.18818763388534665
MH01,38,38.0,38.4,38.6,6.3725956722591715,1.016883207622178,0.7884800674553625,0.3343604230849124
MH05,16,16.0,16.4,16.6,6.302090387256535,0.9104035925810404,0.7986097956128555,0.26250889697497654
V203,73,73.0,73.4,73.6,5.434809823376456,0.6895019566798377,0.7480697728814869,0.0681360027187733
