app,method,interval_seconds,num_windows,default_setting,tuned_setting,default_mean,tuned_mean,mean_delta,default_median,tuned_median,median_delta,default_p95,tuned_p95,p95_delta,default_sum_abs_dev,tuned_sum_abs_dev,sum_abs_dev_delta,default_run_id,tuned_run_id
reduced_with_prior,manifold,0.2,5954,default_alpha_3.0,split_alpha_g16.3_a8.8,0.1776527297084313,0.17172716609136712,-0.005925563617064172,0.0167129,0.01627535,-0.00043754999999999836,0.081615685,0.07982167999999999,-0.0017940050000000013,6614.2269073160005,6587.402333091999,-26.82457422400148,20260504T005543025Z,20260504T005552165Z
reduced_with_prior,manifold,0.5,2378,default_alpha_3.0,split_alpha_g16.3_a8.8,0.6597752531766189,0.44489661839613115,-0.21487863478048774,0.1119165,0.07678019999999999,-0.03513630000000001,0.8875317,0.5964102,-0.29112150000000003,2992.969407946,2737.278541454,-255.69086649200017,20260504T005543025Z,20260504T005552165Z
reduced_with_prior,manifold,1.0,1186,default_alpha_3.0,split_alpha_g16.3_a8.8,2.0760200928077572,0.679273847613828,-1.3967462451939292,0.8626389999999999,0.2839075,-0.5787315,6.690837500000001,2.1144149999999997,-4.576422500000001,1988.6523499300001,1018.4994367300001,-970.1529132000001,20260504T005543025Z,20260504T005552165Z
reduced_with_prior,quadrature,0.2,5954,default_alpha_3.0,split_alpha_g16.3_a8.8,0.17860253442206916,0.1725049355435002,-0.006097598878568977,0.018223000000000003,0.0177446,-0.0004784000000000038,0.08568981999999999,0.08322884499999987,-0.002460975000000115,6605.154590051001,6577.926553774,-27.228036277000683,20260504T005543025Z,20260504T005552165Z
reduced_with_prior,quadrature,0.5,2378,default_alpha_3.0,split_alpha_g16.3_a8.8,0.6694097788742641,0.4494171631656855,-0.21999261570857864,0.12707000000000002,0.08735380000000001,-0.03971620000000001,0.8442820000000012,0.5738835500000002,-0.27039845000000096,2977.486885837,2725.351385992,-252.13549984500014,20260504T005543025Z,20260504T005552165Z
reduced_with_prior,quadrature,1.0,1186,default_alpha_3.0,split_alpha_g16.3_a8.8,2.0933164182546373,0.6823962175801012,-1.410920200674536,0.952636,0.3101065,-0.6425295,6.323307499999999,2.0691075,-4.254199999999999,1967.7996479500002,1007.88388595,-959.9157620000002,20260504T005543025Z,20260504T005552165Z
reduced_with_prior,tangent,0.2,5954,default_alpha_3.0,split_alpha_g16.3_a8.8,0.17765274324353375,0.1717272249047699,-0.005925518338763841,0.0167129,0.01627535,-0.00043754999999999836,0.081615685,0.07982099999999999,-0.0017946850000000042,6614.226826728,6587.402262917,-26.82456381099928,20260504T005543025Z,20260504T005552165Z
reduced_with_prior,tangent,0.5,2378,default_alpha_3.0,split_alpha_g16.3_a8.8,0.6597798045517241,0.44494896486164837,-0.21483083969007577,0.1119165,0.07680655,-0.03510995,0.8875656500000002,0.5969101000000001,-0.2906555500000001,2992.964484776,2737.2441615590005,-255.72032321699953,20260504T005543025Z,20260504T005552165Z
reduced_with_prior,tangent,1.0,1186,default_alpha_3.0,split_alpha_g16.3_a8.8,2.0769630810033726,0.6818434320067455,-1.395119648996627,0.8626405,0.28405,-0.5785905,6.6928475,2.1279425,-4.5649049999999995,1989.61654593,1019.52788964,-970.08865629,20260504T005543025Z,20260504T005552165Z
diagnostics_no_prior,manifold,0.2,5954,default_alpha_8.4,split_alpha_g16.3_a8.8,5.796291189922742,4.923482120708767,-0.8728090692139743,1.064755,0.7858355,-0.2789194999999999,5.427977499999998,3.9021775,-1.525799999999998,31234.347455199997,27018.0415533,-4216.305901899996,20260504T005600142Z,20260504T005606866Z
diagnostics_no_prior,manifold,0.5,2378,default_alpha_8.4,split_alpha_g16.3_a8.8,3.5056116307821696,2.6953556551724143,-0.8102559756097554,1.572765,1.206025,-0.36674000000000007,8.529135500000004,6.463608500000001,-2.065527000000003,6728.876122000001,5050.675972,-1678.2001500000006,20260504T005600142Z,20260504T005606866Z
diagnostics_no_prior,manifold,1.0,1186,default_alpha_8.4,split_alpha_g16.3_a8.8,3.9726507164418217,2.9195437805227655,-1.0531069359190561,2.3545100000000003,1.797055,-0.5574550000000003,12.464550000000001,8.741272500000001,-3.7232775,3771.6614103,2608.0496763,-1163.611734,20260504T005600142Z,20260504T005606866Z
diagnostics_no_prior,quadrature,0.2,5954,default_alpha_8.4,split_alpha_g16.3_a8.8,5.639252090829694,4.844844130282163,-0.7944079605475309,0.9560835,0.793825,-0.16225849999999997,5.283591999999985,3.9075479999999967,-1.3760439999999887,30594.989391200004,26514.7900883,-4080.199302900004,20260504T005600142Z,20260504T005606866Z
diagnostics_no_prior,quadrature,0.5,2378,default_alpha_8.4,split_alpha_g16.3_a8.8,3.3584466225820018,2.6581249261564337,-0.7003216964255681,1.5306250000000001,1.2037499999999999,-0.32687500000000025,8.577277500000005,6.2505695,-2.3267080000000044,6430.5531715,4950.1897056,-1480.3634659,20260504T005600142Z,20260504T005606866Z
diagnostics_no_prior,quadrature,1.0,1186,default_alpha_8.4,split_alpha_g16.3_a8.8,3.9017963620573353,2.912252792664418,-0.9895435693929171,2.24306,1.7705549999999999,-0.47250499999999995,12.1914,8.5233125,-3.6680875000000004,3689.4675146,2586.1954478999996,-1103.2720667000003,20260504T005600142Z,20260504T005606866Z
diagnostics_no_prior,tangent,0.2,5954,default_alpha_8.4,split_alpha_g16.3_a8.8,5.796151701763521,4.923589180870003,-0.8725625208935179,1.065325,0.7853315,-0.2799935000000001,5.4307729999999985,3.9134724999999926,-1.517300500000006,31233.7381877,27018.739857100005,-4214.998330599996,20260504T005600142Z,20260504T005606866Z
diagnostics_no_prior,tangent,0.5,2378,default_alpha_8.4,split_alpha_g16.3_a8.8,3.507459839949537,2.698743464844407,-0.8087163751051301,1.5717150000000002,1.20428,-0.3674350000000002,8.62754,6.495856500000001,-2.1316834999999985,6733.003900600001,5058.5269006,-1674.4770000000008,20260504T005600142Z,20260504T005606866Z
diagnostics_no_prior,tangent,1.0,1186,default_alpha_8.4,split_alpha_g16.3_a8.8,3.9950766499156827,2.9458909458684652,-1.0491857040472174,2.3511550000000003,1.78998,-0.5611750000000004,12.446575,8.797705,-3.6488699999999987,3798.4315131999997,2639.1563582,-1159.2751549999998,20260504T005600142Z,20260504T005606866Z
