app,setting,method,num_windows,nees_mean,nees_median,nees_p95,sum_abs_deviation_from_1
reduced_with_prior,default_alpha_3.0,manifold,9518,0.5346553619256146,0.0314725,1.5673019999999995,11595.848665192
reduced_with_prior,default_alpha_3.0,quadrature,9518,0.5398118529272956,0.033317200000000005,1.5672464999999998,11550.441123838
reduced_with_prior,default_alpha_3.0,tangent,9518,0.5347740095152343,0.0314725,1.5682644999999995,11596.807857434002
reduced_with_prior,split_alpha_g16.3_a8.8,manifold,9518,0.30321984542172725,0.0282651,0.6240877499999999,10343.180311275999
reduced_with_prior,split_alpha_g16.3_a8.8,quadrature,9518,0.30522487017062405,0.03049565,0.6164829499999999,10311.161825715999
reduced_with_prior,split_alpha_g16.3_a8.8,tangent,9518,0.3035531462370246,0.0282651,0.6252154,10344.174314116
diagnostics_no_prior,default_alpha_8.4,manifold,9518,4.996745739913847,1.2706849999999998,7.883719499999999,41734.8849875
diagnostics_no_prior,default_alpha_8.4,quadrature,9518,4.85291274455768,1.165295,7.952106499999998,40715.0100773
diagnostics_no_prior,default_alpha_8.4,tangent,9518,4.9999146499789875,1.2707199999999998,7.938147,41765.173601500006
diagnostics_no_prior,split_alpha_g16.3_a8.8,manifold,9518,4.117098888253834,0.9468375,5.699536999999998,34676.7672016
diagnostics_no_prior,split_alpha_g16.3_a8.8,quadrature,9518,4.057696452847236,0.9550905000000001,5.623317499999997,34051.175241799996
diagnostics_no_prior,split_alpha_g16.3_a8.8,tangent,9518,4.121295293559572,0.9467939999999999,5.730555999999999,34716.4231159
